timestamp,open,high,low,close
42705,114.373,114.827,113.801,114.177
42706,114.169,114.21,113.303,113.503
42709,113.036,114.777,112.942,113.806
42710,113.811,114.187,113.467,114.025
42711,114.02,114.406,113.39,113.627
42712,113.631,114.375,113.117,114.123
42713,114.124,115.369,113.97,115.274
42716,115.448,116.124,114.716,114.841
42717,114.844,115.477,114.745,115.249
42718,115.244,117.396,114.737,117.209
42719,117.227,118.665,117.073,118.219
42720,118.246,118.428,117.466,117.84
42723,117.859,117.884,116.512,117.078
42724,117.081,118.242,116.95,117.877
42725,117.88,118.069,117.076,117.472
42726,117.469,117.876,117.25,117.541
42727,117.542,117.65,117.133,117.32
42730,117.22,117.382,116.96,117.105
42731,117.105,117.618,117.075,117.44
42732,117.447,117.814,116.807,117.054
42733,117.054,117.155,116.208,116.547
42734,116.55,117.2,116.035,116.95
42737,116.935,117.665,116.71,117.302
42738,117.3,118.611,117.169,117.698
42739,117.685,118.188,117.029,117.263
42740,117.273,117.43,115.189,115.44
42741,115.44,117.181,115.033,117.02
42744,117.178,117.55,115.633,115.913
42745,115.915,116.344,115.17,115.83
42746,115.824,116.873,114.237,115.401
42747,115.407,115.413,113.731,114.74
42748,114.739,115.446,114.145,114.467
42751,114.414,114.47,113.617,114.09
42752,114.073,114.29,112.53,112.786
42753,112.789,114.762,112.61,114.551
42754,114.548,115.624,114.39,115.055
42755,115.044,115.387,114.2,114.6
42758,114.391,114.393,112.485,112.539
42759,112.545,113.894,112.492,113.864
42760,113.864,113.989,113.02,113.327
42761,113.327,114.859,113.03,114.544
42762,114.536,115.376,114.36,115.08
42765,114.889,114.952,113.43,113.737
42766,113.737,113.965,112.046,112.666
42767,112.666,113.952,112.618,113.282
42768,113.28,113.363,112.028,112.86
42769,112.86,113.494,112.275,112.584
42772,112.568,112.777,111.584,111.793
42773,111.796,112.579,111.57,112.31
42774,112.307,112.545,111.61,111.841
42775,111.843,113.351,111.799,113.282
42776,113.295,113.86,112.83,113.205
42779,113.647,114.169,113.419,113.756
42780,113.754,114.501,113.213,114.317
42781,114.315,114.958,113.852,114.276
42782,114.273,114.32,113.053,113.299
42783,113.299,113.51,112.58,112.836
42786,112.938,113.238,112.756,113.14
42787,113.136,113.778,113.099,113.7
42788,113.705,113.733,112.875,113.311
42789,113.308,113.46,112.529,112.734
42790,112.755,112.97,111.917,112.134
42793,112.222,112.841,111.894,112.733
42794,112.741,112.898,111.664,112.84
42795,112.844,114.048,112.73,113.763
42796,113.768,114.596,113.734,114.377
42797,114.38,114.75,113.765,114.005
42800,114.085,114.112,113.529,113.936
42801,113.939,114.155,113.693,113.991
42802,113.99,114.759,113.573,114.444
42803,114.436,115.094,114.33,115.093
42804,115.091,115.505,114.616,114.77
42807,114.879,114.958,114.459,114.941
42808,114.933,115.195,114.492,114.696
42809,114.694,114.885,113.14,113.439
42810,113.443,113.56,112.88,113.346
42811,113.346,113.51,112.526,112.69
42814,112.601,112.711,112.443,112.53
42815,112.529,112.66,111.395,111.498
42816,111.498,111.77,110.714,111.295
42817,111.292,111.59,110.589,111.028
42818,111.033,111.482,110.591,111.329
42821,110.565,110.7,110.077,110.616
42822,110.621,111.202,110.15,111.117
42823,111.122,111.316,110.69,111.09
42824,111.095,111.945,110.91,111.817
42825,111.817,112.198,111.209,111.383
42828,111.332,111.589,110.8,110.872
42829,110.872,110.88,110.231,110.824
42830,110.818,111.456,110.359,110.495
42831,110.5,111.142,110.26,110.85
42832,110.846,111.367,110.091,111.044
42835,111.299,111.582,110.621,110.755
42836,110.753,110.85,109.428,109.665
42837,109.669,109.868,108.88,109.057
42838,109.057,109.394,108.7,109.139
42839,109.139,109.226,108.48,108.48
42842,108.595,109.083,108.099,109.032
42843,109.035,109.221,108.279,108.434
42844,108.435,109.181,108.354,108.91
42845,108.911,109.488,108.69,109.386
42846,109.385,109.424,108.847,109.08
42849,110.043,110.348,109.619,109.822
42850,109.822,111.189,109.569,110.987
42851,110.984,111.779,110.839,111.201
42852,111.198,111.6,111.016,111.258
42853,111.255,111.717,111.034,111.495
42856,111.292,111.948,111.175,111.868
42857,111.868,112.306,111.749,111.968
42858,111.968,112.824,111.922,112.705
42859,112.702,113.05,112.28,112.519
42860,112.518,112.804,112.053,112.7
42863,112.825,113.296,112.357,113.262
42864,113.268,114.33,113.09,113.716
42865,113.715,114.373,113.599,114.312
42866,114.311,114.37,113.438,113.756
42867,113.757,113.953,113.168,113.28
